month_index,year,firm_type,adoption_rate
0,2022,MNC subsidiary,0.022041024995760897
1,2022,MNC subsidiary,0.05539505480130747
2,2022,MNC subsidiary,0.09563135926488292
3,2022,MNC subsidiary,0.14687221704807238
4,2022,MNC subsidiary,0.23655198769705416
5,2022,MNC subsidiary,0.35329071563505116
6,2022,MNC subsidiary,0.48952221607490815
7,2022,MNC subsidiary,0.630863831839657
8,2022,MNC subsidiary,0.7496151118847122
9,2022,MNC subsidiary,0.8477890632792842
10,2022,MNC subsidiary,0.9007141975682306
11,2022,MNC subsidiary,0.9229619993957708
12,2023,MNC subsidiary,0.9376044355466998
13,2023,MNC subsidiary,0.942253668408684
14,2023,MNC subsidiary,0.9541983650021287
15,2023,MNC subsidiary,0.9512291967260015
16,2023,MNC subsidiary,0.9518737674358659
17,2023,MNC subsidiary,0.9429496868840255
18,2023,MNC subsidiary,0.9572796453308723
19,2023,MNC subsidiary,0.9527338666569823
20,2023,MNC subsidiary,0.9529771263937433
21,2023,MNC subsidiary,0.9517317431643505
22,2023,MNC subsidiary,0.9457104140997139
23,2023,MNC subsidiary,0.9576328308426044
24,2024,MNC subsidiary,0.9557921823599618
25,2024,MNC subsidiary,0.9562317506300586
26,2024,MNC subsidiary,0.9564885877269945
27,2024,MNC subsidiary,0.9402056175354866
28,2024,MNC subsidiary,0.9486373742797913
29,2024,MNC subsidiary,0.9499506740999374
30,2024,MNC subsidiary,0.9504765564140738
31,2024,MNC subsidiary,0.9521207735095165
32,2024,MNC subsidiary,0.9463908839897627
33,2024,MNC subsidiary,0.9545935412611739
34,2024,MNC subsidiary,0.9532778223059459
35,2024,MNC subsidiary,0.9522345885944705
36,2025,MNC subsidiary,0.9492101163826213
37,2025,MNC subsidiary,0.9556724394721523
38,2025,MNC subsidiary,0.9461698561230553
39,2025,MNC subsidiary,0.9466827340476818
40,2025,MNC subsidiary,0.9474042251949574
41,2025,MNC subsidiary,0.9347251083185026
42,2025,MNC subsidiary,0.9478904400779831
43,2025,MNC subsidiary,0.9515719639677238
44,2025,MNC subsidiary,0.9461162344125917
45,2025,MNC subsidiary,0.9479857617896196
46,2025,MNC subsidiary,0.9553100213372239
47,2025,MNC subsidiary,0.9484269481923943
48,2026,MNC subsidiary,0.9374355815744502
49,2026,MNC subsidiary,0.957918871648017
50,2026,MNC subsidiary,0.9539678429625391
51,2026,MNC subsidiary,0.9536232171114377
52,2026,MNC subsidiary,0.9496812015638919
53,2026,MNC subsidiary,0.9409674742311073
54,2026,MNC subsidiary,0.9511834467002157
55,2026,MNC subsidiary,0.9534088487543345
56,2026,MNC subsidiary,0.9598995172074419
57,2026,MNC subsidiary,0.9579915556083264
58,2026,MNC subsidiary,0.951742758449993
59,2026,MNC subsidiary,0.9524458467863138
0,2022,Outsourcing,0.00516829621197497
1,2022,Outsourcing,0.026158260031813492
2,2022,Outsourcing,0.04329869464814206
3,2022,Outsourcing,0.07656482491116108
4,2022,Outsourcing,0.11927564632832278
5,2022,Outsourcing,0.16965693944232485
6,2022,Outsourcing,0.24209756352871345
7,2022,Outsourcing,0.3352675737516819
8,2022,Outsourcing,0.4267015287919221
9,2022,Outsourcing,0.5419924222700931
10,2022,Outsourcing,0.6321099801905559
11,2022,Outsourcing,0.7189736744996854
12,2023,Outsourcing,0.7820107487538508
13,2023,Outsourcing,0.8250259555685293
14,2023,Outsourcing,0.8438922665358537
15,2023,Outsourcing,0.8623493881389033
16,2023,Outsourcing,0.8593214056393473
17,2023,Outsourcing,0.8820782622365222
18,2023,Outsourcing,0.8810123341391533
19,2023,Outsourcing,0.8812502886608925
20,2023,Outsourcing,0.8754633204057553
21,2023,Outsourcing,0.8770883309836051
22,2023,Outsourcing,0.8798373493337264
23,2023,Outsourcing,0.8801749262079427
24,2024,Outsourcing,0.8739993920692039
25,2024,Outsourcing,0.8852903181346181
26,2024,Outsourcing,0.8762434651808206
27,2024,Outsourcing,0.8750267537692052
28,2024,Outsourcing,0.8878938483577161
29,2024,Outsourcing,0.8719712037468313
30,2024,Outsourcing,0.8776920616335555
31,2024,Outsourcing,0.8824921695191638
32,2024,Outsourcing,0.8832059921794463
33,2024,Outsourcing,0.8872609279849305
34,2024,Outsourcing,0.8760134251084813
35,2024,Outsourcing,0.8798004593293867
36,2025,Outsourcing,0.8729555573068265
37,2025,Outsourcing,0.8800401762162197
38,2025,Outsourcing,0.8848549555135766
39,2025,Outsourcing,0.8786135123399184
40,2025,Outsourcing,0.8841465519349929
41,2025,Outsourcing,0.8872038157797784
42,2025,Outsourcing,0.8848452115789259
43,2025,Outsourcing,0.8748122580018719
44,2025,Outsourcing,0.8762557349283485
45,2025,Outsourcing,0.8758719970600022
46,2025,Outsourcing,0.8802308962045843
47,2025,Outsourcing,0.8780146706148898
48,2026,Outsourcing,0.8874259618050043
49,2026,Outsourcing,0.8800240262966579
50,2026,Outsourcing,0.886946119273667
51,2026,Outsourcing,0.8923037421899885
52,2026,Outsourcing,0.8802203911436866
53,2026,Outsourcing,0.87909422853988
54,2026,Outsourcing,0.8778977996283129
55,2026,Outsourcing,0.8799752832555272
56,2026,Outsourcing,0.8836535218418629
57,2026,Outsourcing,0.8746958769860051
58,2026,Outsourcing,0.8870869473034272
59,2026,Outsourcing,0.8747890827759921
0,2022,Local SME,0.0
1,2022,Local SME,0.004834811467741327
2,2022,Local SME,0.02192161162555967
3,2022,Local SME,0.031041314022930054
4,2022,Local SME,0.03814764019585182
5,2022,Local SME,0.05045551042961941
6,2022,Local SME,0.08485261565011995
7,2022,Local SME,0.11003532148347211
8,2022,Local SME,0.14878941976507
9,2022,Local SME,0.1953729523748055
10,2022,Local SME,0.2441317213641824
11,2022,Local SME,0.3017231021730017
12,2023,Local SME,0.35500963297957183
13,2023,Local SME,0.4230864765005047
14,2023,Local SME,0.4910787610103787
15,2023,Local SME,0.5320145631408297
16,2023,Local SME,0.587122712547596
17,2023,Local SME,0.6197552472565648
18,2023,Local SME,0.6340046294933959
19,2023,Local SME,0.6636969455023027
20,2023,Local SME,0.6780996869433386
21,2023,Local SME,0.6878226479868171
22,2023,Local SME,0.6879181733634457
23,2023,Local SME,0.6896595057862026
24,2024,Local SME,0.69707291918125
25,2024,Local SME,0.7055869209085072
26,2024,Local SME,0.6942363369187913
27,2024,Local SME,0.6868713938647805
28,2024,Local SME,0.6938363053439454
29,2024,Local SME,0.6957231497366073
30,2024,Local SME,0.6972245110367464
31,2024,Local SME,0.7014198655405571
32,2024,Local SME,0.6973020101033447
33,2024,Local SME,0.6987043866998942
34,2024,Local SME,0.7018391847015059
35,2024,Local SME,0.7046753862592285
36,2025,Local SME,0.6997314921993472
37,2025,Local SME,0.6915112164120145
38,2025,Local SME,0.6968966873721816
39,2025,Local SME,0.7084593514719016
40,2025,Local SME,0.6952189634084567
41,2025,Local SME,0.6976063775755487
42,2025,Local SME,0.7088881135069494
43,2025,Local SME,0.6949844620257861
44,2025,Local SME,0.6988326366999552
45,2025,Local SME,0.693531201536082
46,2025,Local SME,0.7054869335459577
47,2025,Local SME,0.703683172394607
48,2026,Local SME,0.7106229954270891
49,2026,Local SME,0.7078203869328589
50,2026,Local SME,0.7046479549294266
51,2026,Local SME,0.6945757265553203
52,2026,Local SME,0.7002275412626839
53,2026,Local SME,0.7015465695994634
54,2026,Local SME,0.7037697937883979
55,2026,Local SME,0.6958847863383795
56,2026,Local SME,0.6972373684713359
57,2026,Local SME,0.696653648438288
58,2026,Local SME,0.6964259249970245
59,2026,Local SME,0.7071673379712233
0,2022,Freelancer,0.030618826262936317
1,2022,Freelancer,0.0512165988932681
2,2022,Freelancer,0.10621745597794945
3,2022,Freelancer,0.17148179840133573
4,2022,Freelancer,0.2575089668665119
5,2022,Freelancer,0.37327284466061567
6,2022,Freelancer,0.4884817748251985
7,2022,Freelancer,0.609833179646642
8,2022,Freelancer,0.7380486668521432
9,2022,Freelancer,0.8071327962759481
10,2022,Freelancer,0.8555558815339783
11,2022,Freelancer,0.8850676708457269
12,2023,Freelancer,0.9106266153692044
13,2023,Freelancer,0.9168319495346393
14,2023,Freelancer,0.9128630109486789
15,2023,Freelancer,0.9154202977432631
16,2023,Freelancer,0.9264513684099351
17,2023,Freelancer,0.9140496150746704
18,2023,Freelancer,0.9252776512199342
19,2023,Freelancer,0.9136630369022127
20,2023,Freelancer,0.9121778358851749
21,2023,Freelancer,0.9243624689544846
22,2023,Freelancer,0.9137884958922803
23,2023,Freelancer,0.9233629617500325
24,2024,Freelancer,0.9150100007221218
25,2024,Freelancer,0.9283215813390302
26,2024,Freelancer,0.9147946522579855
27,2024,Freelancer,0.9259555385711
28,2024,Freelancer,0.9200005227246422
29,2024,Freelancer,0.9207227077864222
30,2024,Freelancer,0.9083209206128896
31,2024,Freelancer,0.928609885476079
32,2024,Freelancer,0.9150705128672162
33,2024,Freelancer,0.9144921641576959
34,2024,Freelancer,0.9154300958638779
35,2024,Freelancer,0.9237126750843954
36,2025,Freelancer,0.9144263554202551
37,2025,Freelancer,0.9153286263795063
38,2025,Freelancer,0.9217352936853489
39,2025,Freelancer,0.9166962110360075
40,2025,Freelancer,0.9198181522258945
41,2025,Freelancer,0.9227643626619536
42,2025,Freelancer,0.9206504699002485
43,2025,Freelancer,0.9206837687473745
44,2025,Freelancer,0.9206934886982084
45,2025,Freelancer,0.9153073669217358
46,2025,Freelancer,0.9156583880667963
47,2025,Freelancer,0.914430383338266
48,2026,Freelancer,0.9242021719187841
49,2026,Freelancer,0.9171239770529235
50,2026,Freelancer,0.9100276842383
51,2026,Freelancer,0.9195340689636144
52,2026,Freelancer,0.9125315201012746
53,2026,Freelancer,0.9166191723628847
54,2026,Freelancer,0.9191936872902529
55,2026,Freelancer,0.9264870634945255
56,2026,Freelancer,0.9178215376122779
57,2026,Freelancer,0.9223632372660818
58,2026,Freelancer,0.9233437987257748
59,2026,Freelancer,0.9153794481730421
