region,firm_type,university_tier,education,english_cefr,english_value,experience_years,genai_adopted,productivity_index,monthly_salary_bdt,weekly_learning_hours
Chittagong,Local SME,T3 (Private),BSc,B2,3.0,1.2255392059314376,0,98.44076196239145,37003.38801736132,5.525151313583503
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",BSc,B1,2.0,8.206546920469288,0,142.39629678504983,98399.75019971762,1.9445498523213978
Rajshahi,Outsourcing,T3 (Private),BSc,A2,1.0,7.94700263529624,0,93.52454646218288,66615.72221817722,5.959862278124411
Chittagong,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,B1,2.0,9.994000978072876,1,143.53096140407607,73312.02740044886,5.783678452557515
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",BSc,B2,3.0,2.403785654472583,0,113.75856321195369,44398.16710828557,4.332805573894119
Dhaka,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,B1,2.0,3.1290370396645875,0,105.89296889144542,35327.37361352339,4.39272542890494
Dhaka,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,A2,1.0,3.7905548169701127,0,104.08189416567164,59120.37883765202,5.6530345164482325
Dhaka,Local SME,"T1 (BUET, DU, IUT)",BSc,C1,4.0,4.863248530728719,1,134.21503230548893,58071.387132906624,4.850159973089058
Sylhet,Local SME,"T2 (KUET, RUET, SUST)",BSc,B1,2.0,3.9348200094779484,0,100.99990672702728,58770.02970647001,2.1454942896039535
Sylhet,MNC subsidiary,T3 (Private),Diploma,B1,2.0,2.900747774145864,1,140.22900339534502,41577.16867698735,5.190774593442981
Chittagong,Local SME,"T2 (KUET, RUET, SUST)",Diploma,C1,4.0,2.959108163165085,1,141.23598192063506,64484.28874713814,5.11378479627367
Chittagong,Local SME,"T1 (BUET, DU, IUT)",Diploma,B2,3.0,9.3915991103886,1,149.91627861194098,81331.11386847644,8.138467873792438
Chittagong,Outsourcing,Self-taught,MSc,B1,2.0,2.3289657756116626,1,106.11832370517489,37705.90432054961,5.695524259340338
Dhaka,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,3.4146714759314905,1,116.23017211305427,63218.68323929839,6.02062650708805
Dhaka,Local SME,"T2 (KUET, RUET, SUST)",Diploma,B2,3.0,7.268692333222001,1,162.8349498837633,70352.38551550309,3.3946987207702595
Rajshahi,Outsourcing,T3 (Private),Diploma,B1,2.0,0.7766017023341529,1,93.64434989767993,34398.78434177083,5.81612660885109
Chittagong,Local SME,T3 (Private),BSc,B1,2.0,4.750656523638691,0,119.16004837891583,40958.37225823318,5.893873689173272
Dhaka,Outsourcing,T3 (Private),BSc,B2,3.0,10.027717548175987,1,140.64807270834285,86031.78813391947,3.462610513876351
Dhaka,Local SME,T3 (Private),BSc,B2,3.0,3.990999283324042,0,119.80064145129136,51193.905424022014,1.985144469244231
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",BSc,A2,1.0,5.201175571474264,0,149.72597235295325,88177.69074026437,6.481557290231069
Dhaka,Local SME,"T1 (BUET, DU, IUT)",BSc,B1,2.0,3.6756208178829346,0,90.30978190582624,71851.90333172784,4.940979070519454
Dhaka,Local SME,T3 (Private),Diploma,B2,3.0,6.591396449651466,1,164.5543927775806,76680.15921408402,4.671815310511067
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",BSc,B1,2.0,4.090348123616854,0,121.42721334329956,69052.53508682887,7.1815357584598996
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",Diploma,B2,3.0,6.170176648601523,1,158.20765482599435,78127.32843693535,6.953290087302546
Dhaka,MNC subsidiary,"T1 (BUET, DU, IUT)",BSc,A2,1.0,5.296388761668319,1,133.28453807935023,75528.17381077327,4.097566472254097
Dhaka,MNC subsidiary,T3 (Private),BSc,B2,3.0,3.402621661940976,1,140.08427992365134,88236.71717037927,4.271562273306723
Khulna,MNC subsidiary,T3 (Private),PhD,B1,2.0,5.6935172534988086,1,131.64772378889802,37107.907954699025,3.983314761360173
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",Diploma,C1,4.0,5.154489235579574,1,125.87363870849092,50182.08151818362,3.253790570629386
Dhaka,Outsourcing,T3 (Private),Diploma,B2,3.0,6.923961263544808,1,146.21927007332246,46136.04733720464,6.557444244851718
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",MSc,B1,2.0,2.677948615266506,1,137.911566786867,60590.37821177082,5.254260545815483
Khulna,Local SME,Self-taught,BSc,B1,2.0,3.2356730284563144,1,105.60018687069618,30350.801714605906,6.186558028942356
Dhaka,Local SME,"T1 (BUET, DU, IUT)",Diploma,B1,2.0,7.9272501741293,1,144.2687849422261,109392.83028748333,7.851239897556353
Chittagong,MNC subsidiary,Self-taught,BSc,B1,2.0,3.352197691412991,0,104.90429043604937,38261.00346228475,2.6274732563005916
Dhaka,Freelancer,Self-taught,MSc,B1,2.0,6.788891984928631,1,103.42290158518529,63687.28678527447,4.0390959784668095
Chittagong,Local SME,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,9.029510883012366,1,158.17713854005115,80738.27655601616,6.61423884578268
Dhaka,MNC subsidiary,"T1 (BUET, DU, IUT)",BSc,C1,4.0,11.104265356100049,1,168.79466015558594,111625.46759139637,7.220123959520022
Chittagong,Local SME,T3 (Private),MSc,B2,3.0,5.710492440054823,0,118.86073437734464,41654.82786890226,2.877414346353279
Dhaka,Local SME,T3 (Private),Diploma,B1,2.0,1.460873825615847,1,123.20156610468955,68752.42625595236,5.191607122934516
Dhaka,Local SME,T3 (Private),BSc,B1,2.0,2.051352526715679,0,96.90919495517569,36793.79965444759,4.23320818204706
Dhaka,MNC subsidiary,"T2 (KUET, RUET, SUST)",BSc,A2,1.0,12.499107225554003,1,137.449166717995,92906.99342129733,4.09636271089986
Dhaka,Freelancer,"T1 (BUET, DU, IUT)",BSc,B1,2.0,15.0,0,127.7134738100551,110029.39120669237,3.76269509875154
Chittagong,Outsourcing,"T2 (KUET, RUET, SUST)",PhD,B1,2.0,1.627813101562099,1,125.09836820465418,46628.5986121874,6.729039727747574
Dhaka,Outsourcing,"T1 (BUET, DU, IUT)",Diploma,B2,3.0,5.53689713139685,1,125.87585652768787,76826.60092552388,2.1945692512609223
Khulna,MNC subsidiary,Self-taught,Diploma,C1,4.0,3.770087269506104,1,121.48748184379579,36569.75699150473,5.860263225693242
Chittagong,MNC subsidiary,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,1.444696242558797,1,141.74682223374734,54294.964479685405,6.736087172582733
Dhaka,Outsourcing,T3 (Private),BSc,B1,2.0,3.190186797496712,1,134.82982882585137,48794.218358142156,7.251534481771375
Dhaka,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,1.5848303710835776,0,118.90877320716329,37773.1479832476,3.7703666639510374
Dhaka,Local SME,"T2 (KUET, RUET, SUST)",BSc,C1,4.0,1.7131708472073461,1,148.3760511755312,36983.25532031065,4.20830308153194
Khulna,Freelancer,"T1 (BUET, DU, IUT)",Diploma,C1,4.0,9.371594331492338,0,108.13530345131768,54920.63342614018,3.5319908522017163
Dhaka,MNC subsidiary,T3 (Private),MSc,B1,2.0,2.4480806642707504,1,116.31903764610256,39782.30290196729,7.866306693754653
Dhaka,Local SME,"T1 (BUET, DU, IUT)",PhD,B2,3.0,1.251088277191985,1,147.66322079149106,47895.545965106576,4.140114955372931
Chittagong,Local SME,T3 (Private),MSc,A2,1.0,1.4652393031685382,0,120.66757058611756,54173.070513893355,5.497123663739936
Dhaka,Local SME,T3 (Private),MSc,B1,2.0,3.3509192713013425,0,90.46503891546514,68267.73908889548,6.47646856017637
Khulna,Local SME,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,8.508610535467803,1,140.62489588563648,47585.48303503919,1.652293886933815
Dhaka,Outsourcing,T3 (Private),Diploma,A2,1.0,3.1724667280775787,1,145.78825663127301,66966.05581703184,7.124159964644527
Chittagong,Outsourcing,"T1 (BUET, DU, IUT)",BSc,B1,2.0,3.0905373864360826,1,125.09480055107433,49318.00472790487,4.792907620553605
Dhaka,Outsourcing,"T2 (KUET, RUET, SUST)",BSc,B2,3.0,4.2493237951338365,0,105.52744688867584,105519.97245355297,3.304623837505804
Chittagong,Freelancer,"T1 (BUET, DU, IUT)",Diploma,A2,1.0,6.755808383867569,0,95.70919285153164,57384.785858590185,3.836410584646387
Chittagong,MNC subsidiary,"T1 (BUET, DU, IUT)",BSc,B1,2.0,2.1895667547440643,1,149.97380814852514,40833.49696865452,7.346603108528364
Dhaka,Local SME,T3 (Private),PhD,C1,4.0,6.890008703052221,0,99.08325883363369,51956.952515602134,5.556308210881973
Dhaka,MNC subsidiary,T3 (Private),BSc,B1,2.0,15.0,1,151.3791117190649,91379.94871686395,4.44672647399839
Khulna,Local SME,T3 (Private),BSc,C1,4.0,6.343476355077849,0,91.24241717767471,48929.628285987295,5.246264629676652
Khulna,Outsourcing,"T1 (BUET, DU, IUT)",Diploma,B1,2.0,2.271228034000568,1,151.19335205295357,36438.23611197029,6.683241755773515
Dhaka,MNC subsidiary,"T1 (BUET, DU, IUT)",Diploma,B2,3.0,7.329945769640977,1,138.56890099855752,75305.58485420886,5.899795589574004
Dhaka,Local SME,Self-taught,BSc,A2,1.0,2.391723389046041,0,102.75421276018047,54805.624017920665,4.884262757432995
Khulna,Local SME,"T1 (BUET, DU, IUT)",BSc,B1,2.0,5.536362579776762,1,134.50130429895023,29616.40774101054,6.397121366546357
